фраза,категорія,коментар
збалансоване харчування,,Кожна фраза з нового рядка:
дитяче харчування,,
здорове харчування,,
зелена цибуля,,
ріпчаста цибуля,,
Дбайте про харчування,,
громадське харчування,,
громадського харчування,,
москітна сітка,,
захисна сітка,,
металева сітка,,
ставлення до,,
дозвіл на,,
дбайливого ставлення,,
дозвіл користувача,,
Дозвіл вологості,,
дбайливим ставленням,,
організацію дозвілля,,
ставленням до,,
без зайвого напруження,,
відповідальне ставлення,,
особливе ставлення,,
напруження для очей,,
напруження очей,,
